,ts,ne,mf,score,mae,time
2148,0.2,4,sqrt,0.28766442729636654,0.03836123568751453,0.6309722000733018
2149,0.2,4,log2,0.2837296740962396,0.03821080973441056,0.6115648001432419
2150,0.2,4,,0.2684063550034218,0.03897874971132761,2.1985293000470847
2151,0.2,5,sqrt,0.33304400213603724,0.03622618920281802,1.3970665999222547
2152,0.2,5,log2,0.3285450225067935,0.036220673333383496,1.3170601001475006
2153,0.2,5,,0.2908615556801344,0.03748522132571766,4.304251400055364
2154,0.2,6,sqrt,0.3307624868973801,0.03581586548426009,2.561145800165832
2155,0.2,6,log2,0.34153527839849684,0.03551829000805153,2.9918734999373555
2156,0.2,6,,0.31640650863157715,0.03656787768162727,8.690250500105321
2157,0.2,7,sqrt,0.34137152398409276,0.035169607899418226,5.296570299891755
2158,0.2,7,log2,0.3387661528530458,0.035288777750492176,4.9965504999272525
2159,0.2,7,,0.31763879823034125,0.036057322385434236,17.04206919996068
2160,0.3,0,sqrt,-0.481582601345792,0.055601595194068036,0.11302189994603395
2161,0.3,0,log2,-0.4305627734121351,0.05527205763156251,0.09644800005480647
2162,0.3,0,,-0.40772184534026934,0.055064005393166214,0.2641817000694573
2163,0.3,1,sqrt,-0.022732512341453237,0.049779155773032935,0.12111800001002848
2164,0.3,1,log2,-0.03287051417933684,0.04887910528628879,0.11237520002759993
2165,0.3,1,,-0.0803467372747404,0.05047568006771124,0.31444640015251935
2166,0.3,2,sqrt,0.14002137050499597,0.044733764465689226,0.20645399997010827
2167,0.3,2,log2,0.14505554150964117,0.04596009961795943,0.1690752999857068
2168,0.3,2,,0.09026740169127745,0.04716026130952876,0.49613439990207553
2169,0.3,3,sqrt,0.24440040484759895,0.0425608768679018,0.34670859994366765
2170,0.3,3,log2,0.22742550298950714,0.04276025325408714,0.35932819987647235
2171,0.3,3,,0.21632110855643905,0.04317782008065741,0.9225229998119175
2172,0.3,4,sqrt,0.29653437106424063,0.040752872727455314,0.6928954999893904
2173,0.3,4,log2,0.28681687234964637,0.04062782364328969,0.5883460000623018
2174,0.3,4,,0.25519004599774975,0.04172587747420045,1.9422919999342412
2175,0.3,5,sqrt,0.30853073269573716,0.03951374113664915,1.2284383999649435
2176,0.3,5,log2,0.31618210086661336,0.03921650158528084,1.1231789002195
2177,0.3,5,,0.3026944213041949,0.03982932231374013,3.737462100107223
2178,0.3,6,sqrt,0.33381221030122166,0.03823775200401535,2.2365921000018716
2179,0.3,6,log2,0.32582920806137006,0.03831529854035231,2.442156400065869
2180,0.3,6,,0.30991000400609936,0.03911027437612186,7.428808900061995
2181,0.3,7,sqrt,0.3355182509221155,0.037869074229346766,4.608359399950132
2182,0.3,7,log2,0.34079898703654876,0.03766050239708157,4.449726599967107
2183,0.3,7,,0.3173981005239793,0.03864666975195431,15.316402599914
2184,0.4,0,sqrt,-0.3144701020391194,0.05293993682018626,0.08043189998716116
