,ts,ne,mf,score,mae,time
53,0.3,1,,-0.07623030828421484,0.04852786475458746,0.5475916999857873
54,0.3,2,sqrt,0.11709996078170448,0.04458178386641347,0.19271959993056953
55,0.3,2,log2,0.15259734127876368,0.04327314957641603,0.15329469996504486
56,0.3,2,,0.11211116457417714,0.04551577738830546,0.4587618999648839
57,0.3,3,sqrt,0.27042658128266306,0.0405945357524404,0.28953239996917546
58,0.3,3,log2,0.25447219085940054,0.040506976928591495,0.3082313002087176
59,0.3,3,,0.19037662678086764,0.042942896746821786,0.8503009998239577
60,0.3,4,sqrt,0.3135981268050656,0.03869999356628882,0.6122268000617623
61,0.3,4,log2,0.30618956018928245,0.03884536108386286,0.6155580000486225
62,0.3,4,,0.28539230641261937,0.039359077934679125,1.9595470998901874
63,0.3,5,sqrt,0.3352554029777405,0.037167287545719414,1.1400382998399436
64,0.3,5,log2,0.32118075722894246,0.03741109302279514,1.1603908999823034
65,0.3,5,,0.2924349357195366,0.03871913184484071,3.6880369000136852
66,0.3,6,sqrt,0.3413119920178116,0.03647391649107419,2.2107713997829705
67,0.3,6,log2,0.34033533635126023,0.03657163700945252,2.3932522998657078
68,0.3,6,,0.31938018541453894,0.0375419088693213,7.450058299815282
69,0.3,7,sqrt,0.3524667231961759,0.03582309895006521,4.798306300071999
70,0.3,7,log2,0.3481931952861894,0.0358773865329078,4.5262972000055015
71,0.3,7,,0.31785910483401636,0.03722032029026878,14.470931800082326
72,0.4,0,sqrt,-0.5563915799758279,0.055915094409982685,0.11281710001640022
73,0.4,0,log2,-0.47893742497587044,0.05483237987418206,0.09281569998711348
74,0.4,0,,-0.535763957321844,0.05575054887162707,0.2563141998834908
75,0.4,1,sqrt,-0.052432711540584265,0.04855075710616632,0.10206410009413958
76,0.4,1,log2,-0.057840381472739955,0.04933004047777933,0.11654780013486743
77,0.4,1,,-0.1088280950126419,0.05022025024397992,0.34580360003747046
78,0.4,2,sqrt,0.13628806824742723,0.04483301340812727,0.14082080009393394
79,0.4,2,log2,0.1375000484808213,0.045179701542651426,0.1546612000092864
80,0.4,2,,0.09252596973593619,0.046373672213423915,0.44444889994338155
81,0.4,3,sqrt,0.23747138914256727,0.04215299091113159,0.3668655001092702
82,0.4,3,log2,0.22272066445212335,0.042405106982729666,0.3300258999224752
83,0.4,3,,0.20070983585966107,0.042992577237108524,0.8512988998554647
84,0.4,4,sqrt,0.27527638176493563,0.040546337104579465,0.5145737999118865
85,0.4,4,log2,0.2842400407845518,0.040053713560097445,0.4903076998889446
86,0.4,4,,0.27340962032669536,0.040687523213938134,1.6088731000199914
87,0.4,5,sqrt,0.32322018518995543,0.038573648364435,1.130212799878791
88,0.4,5,log2,0.3110185716218964,0.038767448178157735,1.0256956999655813
89,0.4,5,,0.29458314191967794,0.03939478941041965,3.253776000114158
90,0.4,6,sqrt,0.318748198192382,0.037848005787361715,2.267354799900204
91,0.4,6,log2,0.32931012284825123,0.03751606389168839,2.2262184999417514
92,0.4,6,,0.296256597906716,0.038800300573040784,6.49551249993965
93,0.4,7,sqrt,0.33458733033563237,0.03702764286185144,3.6986090999562293
94,0.4,7,log2,0.3326586827822414,0.037044598608958895,3.8840855001471937
95,0.4,7,,0.30455361176266504,0.03816268905594441,14.232818699907511
