,model,mse,rmse,mae,r2,mape,time
19,Bagging,10584841.699104927,3253.4353688224587,1643.5582339102564,0.9311515013442855,4513837088792676.0,2.519489899976179
20,Boosting,9057986.206353778,3009.648851004678,1499.8477901235015,0.9410828457449332,1.930448495760607e+17,7.356110599939711
21,Random Forest,9774857.650873154,3126.4768751540696,1567.063616091346,0.9364199963526285,8374246748869412.0,23.091367300017737
22,XGBoost,12686812.733729597,3561.855237615588,1995.923233247999,0.9174793507287552,8.831211025695224e+17,0.5308511999901384
23,LGBM,8961097.996053914,2993.5093111687347,1570.655413963755,0.9417130495785104,2.4670987123014294e+17,0.3100434000371024
24,Ada Boost,18172799.396255895,4262.956649586751,3148.1076062481857,0.8756010997835413,2.404634849752549e+18,3.033645100076683
25,Bagging,10716694.429789457,3273.6362702336764,1636.908224265873,0.9266406362634299,6766983432025852.0,2.04707159998361
26,Boosting,9491655.788648639,3080.8530942984994,1561.9070569767362,0.9350264361810794,1.8508882869010685e+17,6.9642396999988705
27,Random Forest,10874347.052223958,3297.6274883958554,1665.6539257261902,0.9255614512452355,6294385051757389.0,21.294177999952808
28,XGBoost,10838046.000285637,3292.1187706833475,1828.1920064440046,0.925809944107527,4.7717503445296845e+17,0.5892394999973476
29,LGBM,9593513.647932773,3097.3397695333288,1613.3349276150425,0.9343291850093111,1.1762830344920971e+17,0.4281704000895843
30,Ada Boost,16735952.545465363,4090.9598562519973,2648.819330483369,0.8787308465922832,1.0032986423288479e+18,1.9695778000168502
31,Bagging,14907400.460610293,3861.0102901456107,2036.857198101852,0.8919805832110914,2113641887116486.5,1.5513930999441072
32,Boosting,17686941.08994872,4205.584512282297,2591.6632138632813,0.8718399585250138,4.199559388882551e+17,6.5821058000437915
33,Random Forest,14302574.949679669,3781.8745285479354,2017.2509057129635,0.896363164810238,3203295343808154.5,16.46010720008053
34,XGBoost,16083866.626277003,4010.4696266493534,2326.5051510678113,0.8834558783557421,5.58088349847194e+17,0.501669800025411
35,LGBM,13206085.722293604,3634.0178483730106,2052.585316070492,0.9043083546621188,6.47087265891507e+17,0.28401569998823106
36,Ada Boost,16340842.333180996,4042.380775382373,2710.1409510053113,0.8881414596324065,9.87914901583724e+17,1.8056175999809057
37,Bagging,11475135.24788891,3387.4969000559854,1763.0606701785716,0.9214488547666132,5099393510788574.0,2.3898990999441594
38,Boosting,9577043.139307996,3094.6798120820185,1575.247029787339,0.9344419311588862,1.643775747954973e+17,5.632804299937561
39,Random Forest,10767751.208087891,3281.4251794133434,1671.0018900436507,0.9262911355106603,7278882519121136.0,16.31279999995604
40,XGBoost,12218394.993735053,3495.4820831660763,1924.884531698308,0.9163609927954149,7.423037577297711e+17,0.7475554998964071
41,LGBM,10135573.471984195,3183.6415426338745,1607.0120293246748,0.9306186039098786,1.4792810817735747e+17,0.3884763000532985
42,Ada Boost,15340364.192285929,3916.6776982904694,2397.830464505736,0.8894111406336981,5.782215360532726e+17,2.2394567999290302
43,Bagging,14489430.448607858,3806.498449836524,1992.5356974166668,0.8955455316383768,6941185873533706.0,2.2990463000023738
44,Boosting,12780611.461029101,3574.998106437135,1819.4593280371203,0.9078644270916439,1.5601028753958134e+17,7.178926800028421
45,Random Forest,13634011.479465587,3692.4262320953126,1916.5236778666667,0.9017122566842732,4720339581562354.0,20.760171800036915
46,XGBoost,15274307.253363462,3908.2358236630835,2243.918946177759,0.8898873458552363,6.783770046082231e+17,0.47296319995075464
47,LGBM,13168588.836641455,3628.855031086452,1910.5139979284074,0.9050674937925978,2.280793153388904e+17,0.28584859997499734
48,Ada Boost,12792356.046619812,3576.640329501949,2168.05178162026,0.9103868031310276,5.155095105247611e+17,0.9326193000888452
49,Bagging,15423431.782453505,3927.267724825175,2183.1927286458335,0.8919555534821607,5750525329949400.0,2.788925900007598
50,Boosting,11231380.182624893,3351.325138303488,2179.9773312993234,0.9213217737414534,1.1164770925704387e+18,8.011211300035939
51,Random Forest,13029629.994283592,3609.6578777335108,2013.0095766510422,0.9087246482546011,1.3586541781106994e+16,23.117510400013998
52,XGBoost,14879773.176910803,3857.430903711796,2390.4846373131672,0.8957639985778459,7.850233617473427e+17,1.389640299952589
53,LGBM,10499444.119966304,3240.284573917282,1846.0295467073809,0.9264491427921183,1.9399748017807965e+17,1.1812761999899521
54,Ada Boost,14986744.527474122,3871.2716938331932,2544.0729265199216,0.9025195756550056,8.250806019281865e+17,2.817562700016424
55,Bagging,11424183.480779057,3379.9679703776865,1690.0807036057693,0.9256920506344876,7477489788982797.0,2.1961032000835985
56,Boosting,9037597.151072651,3006.2596612855405,1515.394707598548,0.9412154651912148,2.141953663769711e+17,7.161377300042659
57,Random Forest,10148985.33504367,3185.7472176937817,1608.1439241923074,0.9339865041859146,9143084663013170.0,20.079800799954683
58,XGBoost,12847582.757538851,3584.3524879033384,2006.4757067565986,0.9164336312855399,9.389447986490867e+17,0.7076149999629706
59,LGBM,9191993.473713232,3031.83005356719,1567.085238778372,0.9402112031234442,1.3003610644676067e+17,0.5666854999726638
60,Ada Boost,13249036.845698494,3639.9226428179068,2320.368204096559,0.9136554405542049,5.081481530906416e+17,1.4958014000440016
61,Bagging,10873290.720491497,3297.4673190937765,1733.9453653448275,0.9291382831883586,8899276442705049.0,2.0129117000615224
62,Boosting,8849263.697121225,2974.7712008020426,1537.4118461419407,0.9423289568708784,2.232648505551626e+17,5.231089700013399
63,Random Forest,9870821.107449574,3141.7862924536375,1623.1088752744251,0.9356714220198052,6899464481290924.0,15.25564739992842
64,XGBoost,12720149.539628977,3566.531864378752,2081.7331202655805,0.9171022225332189,7.69714005900158e+17,0.5224721999838948
65,LGBM,9431544.234193815,3071.0819321851077,1763.3429833196108,0.9385342088425553,6.1055018155588e+17,0.2902516999747604
66,Ada Boost,17642164.61347924,4200.257684175966,3115.2393419039217,0.8852475472752954,2.0435011418285125e+18,2.2002444000681862
67,Bagging,10612250.424755856,3257.6449199929475,1649.5272582532052,0.9309732228527619,6037791979084698.0,1.8359203999862075
68,Boosting,8877716.277996983,2979.549677048024,1522.8743342400282,0.9422554012042357,1.869848465972461e+17,6.2450905999867246
69,Random Forest,10063090.069286797,3172.237391697979,1606.494358020833,0.9345452050391823,6705714632935916.0,15.701642200001515
70,XGBoost,12718735.657618834,3566.3336436204104,2073.2093889602866,0.9172717098924581,8.035145378775124e+17,0.503727100091055
71,LGBM,9746557.416881518,3121.94769605154,1644.9779858404597,0.9366040736092676,2.180974475558704e+17,0.2517267999937758
72,Ada Boost,14282554.368278796,3779.226689189046,2262.800200160915,0.8979475642762831,5.282372545145654e+17,1.2457237000344321
73,Bagging,13280274.395122187,3644.2110799351603,1850.6402738235292,0.9051091062456178,8023947113095639.0,2.2124545000260696
74,Boosting,10953647.755295828,3309.629549556238,1702.260390272311,0.9217334375445982,1.7477679284226586e+17,6.49898839998059
75,Random Forest,12725905.866315767,3567.338765286494,1795.0686792892154,0.9090702085242774,7041071386280910.0,17.78380350000225
76,XGBoost,12188850.164245505,3491.2533801266136,1819.1165155862286,0.9129076063105801,4.2297898047890406e+17,0.5248642000369728
77,LGBM,11320344.607513541,3364.571979838378,1715.1868346924873,0.9191132964986695,9.36902130361601e+16,0.2614058000035584
78,Ada Boost,15388096.136340229,3922.7663881934427,2389.9562417223515,0.8890670405079034,5.882978323284269e+17,1.1274168000090867
79,Bagging,14629950.891264563,3824.9118801960085,1982.2035443749999,0.8945325181742723,5120263075297534.0,1.8561466000974178
80,Boosting,12854664.810271358,3585.340264224772,1814.7381926516543,0.90733057565746,1.958195600079145e+17,5.7764125999528915
81,Random Forest,13699739.283803226,3701.3158854390185,1909.4646374791666,0.9012384241976882,5391216367258759.0,15.643772299983539
82,XGBoost,14059498.534664102,3749.5997832654225,2173.082871182183,0.8986449156798665,9.520200170769569e+17,0.52532869996503
83,LGBM,12773152.189986384,3573.9546989275595,1853.5613650751807,0.9079182010611521,2.133158765066332e+17,0.2478050000499934
84,Ada Boost,13612077.231340509,3689.4548691291116,2316.289688212156,0.9089103461646325,6.529723663928335e+17,1.6826497999718413
85,Bagging,11637365.33365918,3411.358282804546,1729.4646203079712,0.9221247748023298,7286700919204358.0,2.0257192000281066
86,Boosting,9287354.318217551,3047.5160899029806,1547.874877738826,0.937850639875518,1.854259902154368e+17,6.19981869996991
87,Random Forest,10233531.108750263,3198.9890760598514,1634.4580417427537,0.9315189893234446,8773646037352233.0,17.512996200006455
88,XGBoost,11854971.13472501,3443.1048683891418,1922.3326295196148,0.9206685946209525,8.059996290196287e+17,0.7816579999634996
89,LGBM,9144267.66974449,3023.9490190385964,1546.3813529006304,0.9388081508458397,1.8970922467924154e+17,0.4652775999857113
90,Ada Boost,14067616.842350869,3750.6821835968544,2489.529917587185,0.9084979892196591,8.47876165811782e+17,1.7620774999959394
91,Bagging,9738096.6085387,3120.5923489841957,1574.636550753205,0.9366591064541957,1.0144931720046894e+16,1.9202841999940574
92,Boosting,9037597.15107265,3006.25966128554,1515.3947075985475,0.9412154651912148,2.1419536637696934e+17,6.352572800009511
93,Random Forest,9922424.247842116,3149.987975825006,1589.8995199214744,0.9354601578456525,7665634079602209.0,17.051015799981542
94,XGBoost,12847582.757538851,3584.3524879033384,2006.4757067565986,0.9164336312855399,9.389447986490867e+17,0.47871300007682294
95,LGBM,9191993.473713232,3031.83005356719,1567.085238778372,0.9402112031234442,1.3003610644676067e+17,0.29004340001847595
96,Ada Boost,16458078.944057977,4056.8557953244995,2709.458410701641,0.8859623941688972,1.1419658647432389e+18,2.3843746000202373
97,Bagging,12312131.476296818,3508.8646990582038,1785.6640053750002,0.9146895575718715,8681914292930191.0,2.031366200069897
98,Boosting,9948675.642629085,3154.1521273757685,1628.5023792120046,0.9310658822738703,2.2921788170712618e+17,6.1903657000511885
99,Random Forest,11060308.42140359,3325.704199324346,1705.8097860333335,0.9233634073321889,7049661910400861.0,17.00598220003303
100,XGBoost,11755937.113498611,3428.6932078415257,1942.6514658524432,0.9185434140107582,6.288043058954327e+17,0.5768340000649914
101,LGBM,9846420.168580938,3137.900598900631,1630.6239118934457,0.9317744078243438,1.3826996013528115e+17,0.27109400008339435
102,Ada Boost,12884971.50734809,3589.5642503440567,2235.204495540309,0.9097380119712828,5.318875481472783e+17,1.3079554000869393
