,split_data,alpha,warm_start,selection,fit_intercept,score,mae,rmse,r2,mape,residuales,time
1950,3,0.5,False,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.013234000012744218
1951,3,0.5,False,random,False,-36.49815577714107,0.49946123193082453,0.5062572762923725,-36.49815577714107,1.0,[0.50019936 0.50019936 0.50019936 ... 0.50019936 0.50019936 0.50019936],0.006334400037303567
1952,3,0.05,True,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.013182700029574335
1953,3,0.05,True,cyclic,False,-1.7131335097565872,0.11103093494276417,0.13617641806796704,-1.7131335097565872,0.22837154611911206,[0.08553094 0.10500866 0.10890421 ... 0.11939827 0.11550273 0.11160719],0.012994999997317791
1954,3,0.05,True,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.004902799963019788
1955,3,0.05,True,random,False,-1.7167686224759082,0.11112826840877729,0.13626761353074102,-1.7167686224759082,0.2285488467142541,[0.08556271 0.10505377 0.10895198 ... 0.11964671 0.1157485  0.11185029],0.01757159997941926
1956,3,0.05,False,cyclic,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.005278999975416809
1957,3,0.05,False,cyclic,False,-1.7131335097565872,0.11103093494276417,0.13617641806796704,-1.7131335097565872,0.22837154611911206,[0.08553094 0.10500866 0.10890421 ... 0.11939827 0.11550273 0.11160719],0.013736900000367314
1958,3,0.05,False,random,True,-0.00012672095120458415,0.039189887560701,0.08267873803528203,-0.00012672095120458415,0.09724819919233277,"[-0.00019253 -0.00019253 -0.00019253 ... -0.00019253 -0.00019253
 -0.00019253]",0.007932199980132282
1959,3,0.05,False,random,False,-1.7105919781653296,0.11096279455307348,0.13611262139948796,-1.7105919781653296,0.22824742301798112,[0.0855087  0.10497708 0.10887076 ... 0.11922435 0.11533067 0.111437  ],0.010879700013902038
1960,3,0.005,True,cyclic,True,0.00038067560693211266,0.040919246065807324,0.08265776257870057,0.00038067560693211266,0.10102832911127149,"[ 0.00151466  0.00151466  0.00151466 ... -0.00468191 -0.00468191
 -0.00468191]",0.013893200026359409
1961,3,0.005,True,cyclic,False,-0.8989607962386756,0.0772344235520984,0.11392638663994695,-0.8989607962386756,0.1797546328164755,"[-0.0062857   0.01234078  0.01606135 ... -0.04449507 -0.04822745
 -0.05195983]",0.0063375000027008355
1962,3,0.005,True,random,True,0.00038067560693211266,0.040919246065807324,0.08265776257870057,0.00038067560693211266,0.10102832911127149,"[ 0.00151466  0.00151466  0.00151466 ... -0.00468191 -0.00468191
 -0.00468191]",0.01346929999999702
1963,3,0.005,True,random,False,-0.9011109703868803,0.07732816574697292,0.11399086724143898,-0.9011109703868803,0.17998690981413695,"[-0.00643283  0.01217514  0.01589198 ... -0.04492803 -0.04865674
 -0.05238545]",0.020857399969827384
1964,3,0.005,False,cyclic,True,0.00038067560693211266,0.040919246065807324,0.08265776257870057,0.00038067560693211266,0.10102832911127149,"[ 0.00151466  0.00151466  0.00151466 ... -0.00468191 -0.00468191
 -0.00468191]",0.004938800004310906
1965,3,0.005,False,cyclic,False,-0.8989607962386756,0.0772344235520984,0.11392638663994695,-0.8989607962386756,0.1797546328164755,"[-0.0062857   0.01234078  0.01606135 ... -0.04449507 -0.04822745
 -0.05195983]",0.00720059999730438
1966,3,0.005,False,random,True,0.00038067560693211266,0.040919246065807324,0.08265776257870057,0.00038067560693211266,0.10102832911127149,"[ 0.00151466  0.00151466  0.00151466 ... -0.00468191 -0.00468191
 -0.00468191]",0.01321589999133721
1967,3,0.005,False,random,False,-0.8970280913369686,0.07716802817723091,0.11386839646459866,-0.8970280913369686,0.1795846189648238,"[-0.00549587  0.01314204  0.01654853 ... -0.04345294 -0.04718764
 -0.05092234]",0.014904699986800551
1968,3,0.0005,True,cyclic,True,-0.06688582515565855,0.051599695905585365,0.08539359479264463,-0.06688582515565855,0.12489037844810874,"[ 0.01923626  0.01023974  0.01131909 ... -0.04327221 -0.04307215
 -0.0428721 ]",0.013977100024931133
