,model,mse,rmse,mae,r2,mape,time
112,DecisionTree,0.007307585206542768,0.085484414992107,0.047487130481638516,-0.07280798388326093,0.12034177089622757,0.013247299997601658
113,LassoReg,0.006811647810315287,0.08253270751838501,0.03686945118234453,-6.770724205740208e-07,0.0995919398747529,0.0034079999895766377
114,LinearReg,0.007160836818458405,0.08462172781536906,0.04867838834310493,-0.051264226553144665,0.12186463975617332,0.0029317999724298716
115,PLS,0.007161896950846296,0.08462799153262646,0.04868795915709793,-0.05141986189061365,0.12186522463556733,0.015169499965850264
116,PCR,0.00716191528816986,0.0846280998733273,0.04868812692860717,-0.05142255394641149,0.12186524771842917,0.005326999991666526
117,RidgeReg,0.007160794552418121,0.08462147807984756,0.04867556192574652,-0.05125802158335202,0.1218539052553208,0.002264399954583496
118,RF,0.00848434159481263,0.09211048580271755,0.05888973992367801,-0.24556459399999753,0.14231793044628016,6.670918099989649
119,XGBoost,0.010614051222352315,0.10302451757883807,0.06959461861826766,-0.5582218435838922,0.1667326847190701,0.28101560001960024
120,AdaBoost,0.007465037168857524,0.08640044657788248,0.052709983249077844,-0.09592310570190499,0.1310278017233816,0.4450459000072442
121,Bagging,0.010095707458574497,0.10047739774981485,0.06900098842152295,-0.48212511498481136,0.16335711766186295,0.9098952999920584
122,BayesRidge,0.007154652759288174,0.0845851804945061,0.04857475435664088,-0.05035636056689663,0.1216533216908637,0.006881700013764203
123,Boosting,0.00777459064539653,0.0881736391751896,0.05213357019080283,-0.14136786367373544,0.12962427866197068,2.33172169997124
124,DecisionTree,0.007307585206542957,0.08548441499210811,0.0474871304816462,-0.07280798388328891,0.12034177089624527,0.0127210000064224
125,LassoReg,0.006811647810315287,0.08253270751838501,0.03686945118234453,-6.770724205740208e-07,0.0995919398747529,0.0059086999972350895
126,LinearReg,0.007160836818458405,0.08462172781536906,0.04867838834310493,-0.051264226553144665,0.12186463975617332,0.006284399947617203
127,PLS,0.007161896950846296,0.08462799153262646,0.04868795915709793,-0.05141986189061365,0.12186522463556733,0.017449399980250746
128,PCR,0.00716191528816986,0.0846280998733273,0.04868812692860717,-0.05142255394641149,0.12186524771842917,0.004263100039679557
