,model,mse,rmse,mae,r2,mape,time,i,train,test
1075,LinearReg,0.008646260674238427,0.09298527127582318,0.0517827511292629,-0.005454431670188553,0.13675882563453648,0.019790699938312173,17,17927,18921
1076,BayesRidge,0.00864740561749249,0.0929914276559538,0.05177755663561558,-0.0055875745757960615,0.13668808443215327,0.008227000012993813,17,17927,18921
1077,RidgeReg,0.008646320584331462,0.09298559342355923,0.05178434880152376,-0.005461398481717117,0.13675134822361182,0.002776699955575168,17,17927,18921
1078,PLS,0.008624795582759786,0.09286977755308659,0.05124908531152139,-0.002958303902758308,0.13569119635990268,0.01257579994853586,17,17927,18921
1079,XGBoost,0.013911719196844896,0.11794795121936157,0.0771766997191853,-0.6177628972366116,0.18732079987672462,0.26660610001999885,17,17927,18921
1080,AdaBoost,0.01103154795258035,0.10503117609824404,0.07313642027324074,-0.08392508479722083,0.1866768650298659,0.09488220000639558,0,1012,2006
1081,Boosting,0.010324612564793898,0.10161010070260681,0.06484377155542144,-0.014463844774839973,0.1547955399591731,0.2309561000438407,0,1012,2006
1082,DecisionTree,0.01018124030138608,0.10090213229355503,0.057715017989848516,-0.00037653867419984444,0.1546626921607134,0.002030499977990985,0,1012,2006
1083,LassoReg,0.010195409687970466,0.10097232139537284,0.052898875522004944,-0.0017687778795250075,0.14410796602434847,0.0015604998916387558,0,1012,2006
1084,PCR,0.009026214994463605,0.09500639449249511,0.05376375022614704,0.11311260257147981,0.14004779700502915,0.005384500022046268,0,1012,2006
1085,Bagging,0.012037425293194378,0.1097152008301237,0.07379544544656355,-0.18275941760412606,0.18144178973835762,0.059104999992996454,0,1012,2006
1086,RF,0.009279004914671537,0.09632759165821357,0.06339223552973135,0.08827426285024664,0.15510669441702982,0.41919080005027354,0,1012,2006
1087,LinearReg,0.00883590162527515,0.09399947672873052,0.054558375139631105,0.13181219357379137,0.13967179704445834,0.004066599998623133,0,1012,2006
1088,BayesRidge,0.008862078303390572,0.0941386121811373,0.054027701373321246,0.12924015579922588,0.13862501937332625,0.002561899949796498,0,1012,2006
1089,RidgeReg,0.00882737636901974,0.09395411842500434,0.05436785136320765,0.13264985834661258,0.13887087912634288,0.0020867999410256743,0,1012,2006
1090,PLS,0.009269794548508086,0.09627977227075314,0.05520311176167995,0.08917924436033431,0.14192692687375444,0.003554699942469597,0,1012,2006
1091,XGBoost,0.011673632949888851,0.10804458778619525,0.06836945149495889,-0.14701433012764142,0.16712391366077786,0.12850500002969056,0,1012,2006
1092,AdaBoost,0.009830506142722214,0.09914890893359449,0.08039261437639474,-0.2005810693085135,0.18056268016578544,0.12554450007155538,1,2007,3001
1093,Boosting,0.012498483074030377,0.11179661476999371,0.08321806879740294,-0.5264160314738908,0.16923764126048957,0.34205460001248866,1,2007,3001
1094,DecisionTree,0.007595577049739855,0.08715260781950161,0.050388290362332236,0.07236658174075838,0.11459587538911979,0.0026503000408411026,1,2007,3001
1095,LassoReg,0.008188726824296513,0.09049158427332629,0.04350112044736696,-7.367517567113957e-05,0.10513469479722462,0.0018751000752672553,1,2007,3001
1096,PCR,0.007166633764459293,0.0846559729993064,0.05132758029473807,0.1247526115787132,0.11655229555811109,0.005126100033521652,1,2007,3001
1097,Bagging,0.010054158421599827,0.10027042645565953,0.0693569603924232,-0.22789529791788765,0.14790075251767315,0.07703129993751645,1,2007,3001
1098,RF,0.009244612419356549,0.09614890753074914,0.06706890182690187,-0.12902698016120628,0.14174549695150737,0.7481271000579,1,2007,3001
1099,LinearReg,0.007999876841324837,0.0894420306194176,0.061819663714743525,0.022990215045574636,0.13955746310708006,0.003727199975401163,1,2007,3001
1100,BayesRidge,0.00783789850800285,0.08853190672295977,0.06040035959449827,0.04277232166360412,0.1364365632310027,0.004422899917699397,1,2007,3001
1101,RidgeReg,0.007889467863980823,0.08882267651889816,0.06082441919378687,0.036474254031610975,0.13724416963419483,0.0023342000786215067,1,2007,3001
1102,PLS,0.008144752025296794,0.0902482799021499,0.06088068942759816,0.005296883617458281,0.13586274552807506,0.004222000017762184,1,2007,3001
1103,XGBoost,0.017103131412576886,0.1307789410133638,0.0985270406183225,-1.0887729992455402,0.19458268846565363,0.1439072999637574,1,2007,3001
1104,AdaBoost,0.008113563906025,0.09007532351329636,0.05396917617528198,-0.008896922256359518,0.22185417912855526,0.146180700045079,2,3002,3996
1105,Boosting,0.008474292098102711,0.09205591832197814,0.05637050568305387,-0.05375237258294785,0.2167049011420705,0.5314148999750614,2,3002,3996
1106,DecisionTree,0.007949319470471623,0.08915895619886778,0.045729264750075146,0.011526372296664755,0.20316746165630117,0.004789000027813017,2,3002,3996
1107,LassoReg,0.008043724500496244,0.08968681341477265,0.03829921954135923,-0.00021260521562549428,0.18421089462391776,0.0017878999933600426,2,3002,3996
1108,PCR,0.00793579889928985,0.08908310108707403,0.04816306018796786,0.013207614080230412,0.2102346041837702,0.005137000000104308,2,3002,3996
1109,Bagging,0.010657624926370983,0.10323577348172959,0.06958318304799332,-0.32524314978202806,0.2415221440573161,0.12660509999841452,2,3002,3996
1110,RF,0.01067415959092806,0.10331582449425673,0.07059159606684351,-0.32729918488268095,0.24373436768571685,1.3064464000053704,2,3002,3996
