,model,mse,rmse,mae,r2,mape,time
16,BayesianRidge,0.00667520699583331,0.0817019399759474,0.04491314159289279,0.09934283428953716,0.570837372181786,0.0157152000174392
17,Gradiente,0.006420228426176661,0.08012632792145576,0.04068618997880449,0.18024065977699444,0.4061505124310478,3.4152365000045393
18,RandomForest,0.0051432536291903695,0.0717164808756702,0.038275888950351306,0.32099048624211224,0.11724817545041635,11.483384499995736
19,RegresionLineal,0.00653394005454992,0.0808327907136078,0.04503551145877832,0.12192450798180987,0.38947748880415367,0.024670499988133088
20,Bagging,0.005847018130992969,0.0764657971317436,0.042368485920512004,0.2609429860941209,0.3625170199877088,1.382288500026334
21,ArbolDecision,0.0067795306564637685,0.0823379053441595,0.03884218277464902,0.05059220359758965,0.5186396401460235,0.0458111000189092
22,ReforzamientoAda,0.007165662119014246,0.08465023401629937,0.048321582045612495,0.05347357325151292,361965991422.4369,0.698440699983621
23,BayesianRidge,0.007056277330396592,0.0840016507599499,0.04619423837106277,0.11909156633781914,401936492811.47815,0.014743200008524582
24,Gradiente,0.0061172037242136395,0.07821255477360166,0.04019915539139521,0.2031653912797664,0.8696597484698385,2.9248818999913055
25,RandomForest,0.005012644514338637,0.0708000318809154,0.0374975040315056,0.33291250602526157,0.2607343569137809,10.980920499976492
26,RegresionLineal,0.0063841948198029115,0.07990115656110937,0.043688987989917966,0.12562375295528105,403926808742.56903,0.027402600011555478
27,Bagging,0.005733087058849516,0.07571715168209589,0.042285716792904465,0.27725841229201265,116652968913.61913,1.3974140000063926
28,ArbolDecision,0.00677439576612229,0.0823067176245189,0.039837718583951624,0.07642614461488484,0.6805424578456652,0.024816100019961596
29,ReforzamientoAda,0.007737858140200356,0.0879650961472808,0.04671172634133635,0.10109252135544133,358217591106.7469,0.6362799000053201
30,BayesianRidge,0.00680742582804841,0.08250712592284626,0.0452854743804701,0.1273160278673272,0.13037900685234732,0.014247600018279627
31,Gradiente,0.006010515103326212,0.07752751191239284,0.039969074672513975,0.18204321677619162,1.0078620373137863,2.9387250000145286
32,RandomForest,0.005228644333034557,0.0723093654586635,0.03771075265862348,0.30834664742896123,0.2777574328839617,11.436000100016827
33,RegresionLineal,0.006403936264051993,0.08002459786873029,0.04423819710754049,0.11991723061600479,0.8445475581752071,0.02448209997965023
34,Bagging,0.005860859885726672,0.07655625308050723,0.042441114962884934,0.245614012801315,0.43510735138427703,1.211413699988043
35,ArbolDecision,0.007119265642752564,0.08437574084268869,0.03923304669933531,0.05331240400095416,0.5215342743354061,0.04668100000708364
36,ReforzamientoAda,0.0070922995897883005,0.08421579180764319,0.04462594424459657,0.12010926033889568,0.8168692192105191,0.7031317999935709
37,BayesianRidge,0.0065651075875236,0.0810253515112622,0.044555684788416226,0.14339957497140765,402631041763.50323,0.01469459998770617
38,Gradiente,0.006177974173945686,0.07860009016499718,0.04058833608468382,0.19374497023828752,0.7156425462621744,3.1957968000206165
39,RandomForest,0.005201532530903798,0.07212165091637739,0.03735754071909518,0.29866689344238784,0.7130974314007319,13.851203500002157
40,RegresionLineal,0.00673371604590402,0.08205922279612463,0.04438263367619869,0.12360749331218313,403648151579.1255,0.02569670000229962
41,Bagging,0.005899066144427457,0.07680537835612462,0.04198430589360663,0.26316940752244955,0.4327971074701292,1.5114411000104155
42,ArbolDecision,0.007498603433197045,0.08659447692085821,0.04096394805356461,0.02775343691239618,0.5393057134878639,0.028358299983665347
43,ReforzamientoAda,0.006942942470429165,0.08332432100190895,0.04535208809646471,0.09499880493160828,392146131528.5942,0.6848301000136416
44,BayesianRidge,0.006746216720779472,0.08213535609455572,0.045003258503041876,0.12241962852872856,0.217636484379721,0.014694400015287101
45,Gradiente,0.006182369613982761,0.07862804597586513,0.040749547039413525,0.21197845678070815,0.5269698550341937,2.8769196000066586
46,RandomForest,0.005169035117179384,0.07189600209454892,0.03773497565136258,0.297800384876426,0.2883824540676321,11.16233820002526
47,RegresionLineal,0.006651323193252372,0.08155564476633345,0.04489309707638098,0.1247623109948427,0.845092651929031,0.021986600011587143
48,Bagging,0.005590124079470403,0.07476713234751219,0.04119939537098901,0.21896105489512607,0.5896211716728126,1.2745554000139236
49,ArbolDecision,0.006906392739229959,0.08310470948887289,0.03907047455404884,0.07273967068823961,0.6258651598653387,0.032403599994722754
50,ReforzamientoAda,0.006742950001488043,0.0821154674923552,0.04444339889457854,0.10501577406396889,0.1416291783501571,0.5704816999786999
51,BayesianRidge,0.006682093553520411,0.08174407350701585,0.04466196484657883,0.14256964790833648,0.6031531891585346,0.014622599992435426
52,Gradiente,0.00651619080253572,0.08072292612718966,0.04145090487092104,0.1943149776962425,0.5910382067355061,3.0625148999970406
53,RandomForest,0.00469515290245006,0.0685211857927901,0.03619372997543167,0.33567539363290855,0.15316853027944224,11.442439100006595
