,model,mse,rmse,mae,r2,mape,time
123,Gradiente,0.005933756,0.077030875,0.03945029,0.214546412,3.96E+11,2.9116966
124,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0052419
125,RandomForest,0.004934547,0.070246332,0.037340217,0.346812041,3.04E+11,11.7161426
126,Bagging,0.005481327,0.074035986,0.041211166,0.274434543,3.34E+11,1.3858235
127,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0235271
128,ReforzamientoAda,0.006603763,0.081263541,0.041452768,0.125857264,3.92E+11,0.5657408
129,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0068562
130,Gradiente,0.005931754,0.077017884,0.039440699,0.214811318,3.96E+11,2.8091441
131,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0073141
132,RandomForest,0.00495997,0.070427058,0.03740453,0.343446748,2.63E+11,14.0689692
133,Bagging,0.005350958,0.07315024,0.041010302,0.291691621,2.81E+11,1.2691219
134,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0286128
135,ReforzamientoAda,0.006543464,0.080891684,0.041599868,0.133839021,3.89E+11,0.7672175
136,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0096168
137,Gradiente,0.0059347,0.077037001,0.039454717,0.21442148,3.96E+11,2.9289662
138,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0048079
139,RandomForest,0.004931434,0.070224168,0.037335718,0.347224164,2.89E+11,11.2747343
140,Bagging,0.005409855,0.073551718,0.040737506,0.283895331,3.04E+11,1.3334759
141,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0209984
142,ReforzamientoAda,0.00657933,0.08111307,0.041456972,0.129091463,3.90E+11,0.6418651
143,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0126169
144,Gradiente,0.005935461,0.077041944,0.039461797,0.214320671,3.96E+11,3.0648913
145,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0052975
146,RandomForest,0.004941914,0.070298748,0.03747754,0.3458369,2.93E+11,11.0791895
147,Bagging,0.005500862,0.074167799,0.041410096,0.271848662,3.37E+11,1.7717214
148,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.023823
149,ReforzamientoAda,0.006603816,0.081263867,0.041189815,0.125850259,3.88E+11,0.6735625
150,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0073543
151,Gradiente,0.005934373,0.077034885,0.039454385,0.214464641,3.96E+11,2.8026838
152,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0045
153,RandomForest,0.004959127,0.070421072,0.037463062,0.343558353,3.13E+11,10.8895023
154,Bagging,0.005767028,0.075940948,0.042155193,0.236616278,3.06E+11,1.5754725
155,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0214323
156,ReforzamientoAda,0.006592938,0.08119691,0.042221477,0.127290156,3.88E+11,0.6008923
157,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0077635
158,Gradiente,0.005934945,0.077038593,0.039450208,0.214388998,3.96E+11,2.7589172
159,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0040749
160,RandomForest,0.004928782,0.070205284,0.03740852,0.347575196,3.06E+11,11.2417353
161,Bagging,0.005594733,0.07479795,0.041616233,0.259422937,3.37E+11,1.2586405
162,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0310051
163,ReforzamientoAda,0.006671212,0.081677486,0.041648535,0.116929058,3.92E+11,0.3633287
164,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0069802
165,Gradiente,0.005933097,0.077026601,0.039442965,0.214633578,3.96E+11,2.8682848
166,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0048134
167,RandomForest,0.0049537,0.070382526,0.037381843,0.344276783,2.85E+11,11.0879925
168,Bagging,0.005427707,0.073672972,0.041267602,0.281532305,1.96E+11,1.3170318
169,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0278443
170,ReforzamientoAda,0.006671628,0.081680035,0.042287193,0.116873941,3.88E+11,0.664117
171,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0097053
172,Gradiente,0.005935052,0.077039291,0.039450935,0.214374769,3.96E+11,2.8925095
173,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0055279
174,RandomForest,0.004914307,0.070102119,0.037354792,0.349491227,2.63E+11,11.1901933
175,Bagging,0.005485478,0.074064012,0.041872097,0.273885119,3.11E+11,1.4817891
176,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0582128
177,ReforzamientoAda,0.006693962,0.081816634,0.042394617,0.113917656,3.89E+11,0.5722017
178,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0072925
179,Gradiente,0.005930659,0.077010774,0.039432493,0.214956278,3.96E+11,2.9106992
180,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0050274
181,RandomForest,0.00493348,0.070238735,0.037355805,0.346953307,2.71E+11,14.4216317
182,Bagging,0.005597033,0.074813318,0.041451647,0.259118582,3.66E+11,1.5921087
183,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0340221
184,ReforzamientoAda,0.006618636,0.081354997,0.042021478,0.123888601,3.91E+11,0.5699964
185,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0070481
186,Gradiente,0.005932583,0.077023263,0.039440866,0.21470164,3.96E+11,2.8907682
187,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0043305
188,RandomForest,0.004953113,0.070378359,0.037350745,0.344354412,3.10E+11,11.705651
189,Bagging,0.005537489,0.074414307,0.041422732,0.267000375,3.65E+11,1.5439698
190,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0447268
191,ReforzamientoAda,0.006580231,0.081118622,0.041841986,0.128972251,3.93E+11,0.5409161
192,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0097057
193,Gradiente,0.005935426,0.077041717,0.039453279,0.214325293,3.96E+11,2.9459579
194,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0048653
195,RandomForest,0.004937018,0.070263917,0.037364616,0.346484967,2.92E+11,11.1117445
196,Bagging,0.005523189,0.074318163,0.04163671,0.26889324,2.46E+11,1.5657798
197,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0270958
198,ReforzamientoAda,0.00665305,0.08156623,0.042249095,0.119333151,3.87E+11,0.779136
199,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0073948
200,Gradiente,0.005937045,0.077052221,0.039462616,0.214111037,3.96E+11,2.8566185
201,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0045246
202,RandomForest,0.004924114,0.070172035,0.037336731,0.34819302,3.00E+11,11.2446323
203,Bagging,0.00546152,0.073902096,0.040833825,0.277056468,2.94E+11,1.5652485
204,ArbolDecision,0.007033682,0.083867047,0.039382359,0.068948785,3.95E+11,0.0314221
205,ReforzamientoAda,0.00654657,0.080910878,0.041228627,0.133427917,3.88E+11,0.441244
206,BayesianRidge,0.006596477,0.081218701,0.044323369,0.126821679,4.03E+11,0.0093296
207,Gradiente,0.00593372,0.077030642,0.03944275,0.214551167,3.96E+11,3.3889515
208,RegresionLineal,0.006596614,0.081219542,0.04435878,0.126803591,4.03E+11,0.0058607
209,RandomForest,0.00491063,0.070075884,0.037300136,0.349978025,3.03E+11,11.6123832
