,model,mape,mae,time
105,RF,0.4238108434424257,0.03795320585323,18.868868799996562
192,Bagging,0.4240619834758848,0.043194580871855626,1.9415963999927044
324,Bagging,0.4247237606655039,0.04233324205791273,2.8668694000225514
187,AdaBoost,0.43034884120514716,0.04473664805298374,0.7851197000127286
189,DecisionTree,0.43378288154120415,0.041082269200496534,0.029926299932412803
190,LassoReg,0.436115589355516,0.0410503018890126,0.010932500008493662
194,LinearReg,0.43999961185480596,0.04602056984376807,0.01977919996716082
196,RidgeReg,0.4400472237997151,0.04601572985418476,0.009011799935251474
195,BayesRidge,0.44017332540333687,0.04599101131177922,0.013469900004565716
197,PLS,0.44087171502359385,0.046028571781126175,0.029250900028273463
71,Bagging,0.4452926076197212,0.041829068444498005,2.7744540000567213
191,PCR,0.4512204379455305,0.045924133467122055,0.035971299977973104
176,AdaBoost,0.462337580798144,0.04713059846816606,1.5391865998972207
126,Bagging,0.47001919534603626,0.0425278212552322,1.9630018000025302
143,AdaBoost,0.4732826368930905,0.04401805190308384,1.5064905000617728
298,Boosting,0.4777444517576895,0.04063252515293306,4.1767953999806195
299,DecisionTree,0.4795372398085153,0.04022135720997643,0.02898869989439845
300,LassoReg,0.4797070999852233,0.03884151144579963,0.011027000029571354
181,Bagging,0.48047019854051143,0.04272011370774627,2.0794514000881463
304,LinearReg,0.4849470014222177,0.04503354961518422,0.025836799992248416
306,RidgeReg,0.4852022395070016,0.04501121310415711,0.005057699978351593
305,BayesRidge,0.4856806494589289,0.04495077695201579,0.018941499991342425
307,PLS,0.4865155009897773,0.04497152070321199,0.02152780001051724
297,AdaBoost,0.4938861928210111,0.04712856299721503,0.6410574000328779
301,PCR,0.49541178485069737,0.044175132761693395,0.036491299979388714
16,Bagging,0.5098655529897096,0.042918243135616874,2.0787552999099717
275,AdaBoost,0.5187327284417184,0.044909992921633085,0.7339011000003666
127,RF,0.519890545649224,0.03843556380385081,19.22041209996678
93,Bagging,0.5211091588847342,0.041697822385421864,2.08364069997333
276,Boosting,0.521435869332187,0.040992362236194985,4.119137200061232
258,Bagging,0.5219697932448045,0.042964883929404986,1.842217899975367
116,RF,0.5279357921494764,0.038250671749659536,18.291903600096703
278,LassoReg,0.529549886081285,0.039870046409062256,0.008431300055235624
277,DecisionTree,0.5302822283765015,0.041254143808411546,0.027803199947811663
